pitch_type,count,release_speed,description
FF,2-2,95,ball
FF,1-2,95.2,ball
FF,0-2,94.6,ball
CU,0-1,78.8,swinging_strike
CU,0-0,76.9,called_strike
FF,0-2,95.3,hit_into_play
FF,0-1,95.5,called_strike
FF,0-0,95.5,foul
FF,1-2,95.5,swinging_strike
CU,1-2,80.2,foul
SL,0-2,87.8,ball
FF,0-1,94.3,swinging_strike
SL,0-0,86.7,called_strike
CU,1-2,79.8,swinging_strike
FF,1-1,94.3,foul
FF,1-0,94.1,swinging_strike
FF,0-0,94.4,ball
FF,3-2,97.6,hit_into_play
SL,3-2,88.7,foul
SL,2-2,89.8,ball
SL,1-2,88.8,ball
CU,1-2,80.8,foul
SL,1-1,88.7,foul
SL,0-1,87.9,ball
CU,0-0,79.3,called_strike
FF,1-0,96.1,hit_into_play
FF,0-0,96,ball
FF,3-2,96.1,hit_into_play
FF,2-2,95.6,ball
FF,2-1,95.9,foul
FF,2-0,95.2,called_strike
FF,1-0,94.8,ball
FF,0-0,94.9,ball
FF,2-0,96.1,hit_into_play
CU,1-0,78.7,ball
FF,0-0,95,ball
SL,1-2,86.9,swinging_strike
SL,0-2,87,ball
FF,0-1,96.1,swinging_strike
CU,0-0,79.5,called_strike
FF,3-2,95.2,called_strike
CU,2-2,79.7,ball
FF,2-1,94.5,foul
FF,1-1,94.8,ball
FF,1-0,92.9,swinging_strike
FF,0-0,93.6,ball
FF,2-2,95.7,foul_tip
CU,2-1,79.1,foul
SL,2-0,86.5,foul
SL,1-0,88.4,ball
CU,0-0,78.9,ball
FF,1-2,95.7,called_strike
FF,0-2,96.4,ball
CU,0-2,80.8,foul
CU,0-1,79.4,foul
CU,0-0,79,called_strike
CU,1-2,80.6,swinging_strike
FF,1-1,95.7,foul
FF,0-1,95,ball
FF,0-0,95.4,swinging_strike
FF,0-2,95.7,hit_into_play
SL,0-2,87.1,foul
FF,0-1,95.6,foul
SL,0-0,87.6,called_strike
FF,3-2,96.6,swinging_strike
SL,3-1,87.3,foul
CU,2-1,79.1,ball
SL,2-0,88.1,called_strike
CU,1-0,78.7,ball
CU,0-0,78.2,ball
SL,1-2,88.2,called_strike
