Rider,Points,Points Back,Events,Outs,Rides,Buckoffs,prop.Ridden,Avg Ride Score,Highest RideScore,Avg Buckoff Time,Round Wins,Event Wins,ReRides Taken,Earnings,90Pt Rides
Guytin Tsosie,0,288,1,1,0,1,0,0,0,3.34,0,0,1,0,0
Caelan Reynolds,0,288,1,1,0,1,0,0,0,4.52,0,0,0,0,0
Coy Pollmeier,0,288,1,1,0,1,0,0,0,4.75,0,0,0,0,0
Cody Carpenter,0,288,1,1,0,1,0,0,0,2.7,0,0,0,0,0
Tyler Hessman,0,288,1,1,0,1,0,0,0,1.8,0,0,0,0,0
Stetson Lewis,0,288,1,2,0,2,0,0,0,5.47,0,0,0,0,0
Carlos Garcia,0,288,1,1,0,1,0,0,0,3.34,0,0,0,0,0
Koby Jacobson,0,288,1,1,0,1,0,0,0,6.45,0,0,0,0,0
Eric Edelman,0,288,1,1,0,1,0,0,0,2.54,0,0,0,0,0
Jake Peterson,0,288,1,1,0,1,0,0,0,1.72,0,0,0,0,0
Jalin Edmond,0,288,1,1,0,1,0,0,0,3.18,0,0,0,0,0
Lante Swallow,0,288,1,2,0,2,0,0,0,3.58,0,0,0,0,0
Blake Fenton,0,288,1,1,0,1,0,0,0,2.44,0,0,0,0,0
Fisher Creason,0,288,1,1,0,1,0,0,0,4.52,0,0,0,0,0
Cordell Smith,0,288,1,1,0,1,0,0,0,3.32,0,0,0,0,0
Jackson Ward,0,288,1,1,0,1,0,0,0,1.69,0,0,0,0,0
Zebock Comer,0,288,1,2,0,2,0,0,0,3.19,0,0,0,0,0
Tom Patrick,0,288,1,1,0,1,0,0,0,1.59,0,0,0,0,0
Peter Deg,0,288,1,1,0,1,0,0,0,1.44,0,0,0,0,0
Ricky Ringer,0,288,1,2,0,2,0,0,0,2.49,0,0,0,0,0
Hudson Bolton,0,288,1,1,0,1,0,0,0,2.52,0,0,0,0,0
Kevin Wickey,0,288,1,1,0,1,0,0,0,6.65,0,0,1,0,0
Eric Cordova,0,288,1,1,0,1,0,0,0,2.07,0,0,0,0,0
Alex Marcilio,0,288,1,1,0,1,0,0,0,7.42,0,0,0,0,0
Junior Patrik Souza,0,288,1,1,0,1,0,0,0,4,0,0,0,0,0
Dylan Smith,0,288,1,1,0,1,0,0,0,2.46,0,0,0,0,0
Ezekiel Mitchell,0,288,1,1,0,1,0,0,0,6.41,0,0,0,0,0
Will Loomis,0,288,1,1,0,1,0,0,0,3,0,0,0,0,0
Jesse Borland,0,288,1,1,0,1,0,0,0,1.72,0,0,0,0,0
Dustin Ratchford,0,288,1,2,0,2,0,0,0,4.46,0,0,0,0,0
Andy Sells,0,288,1,2,0,2,0,0,0,3.81,0,0,0,0,0
TJ Gray,0,288,1,1,0,1,0,0,0,4,0,0,0,0,0
Brandon Davis,0,288,1,1,0,1,0,0,0,3.3,0,0,0,0,0
Brock Poulin,0,288,1,1,0,1,0,0,0,6.61,0,0,0,0,0
Ueberson Duarte,0,288,1,2,0,2,0,0,0,2.59,0,0,1,0,0
Stefan Tonita,0,288,1,1,0,1,0,0,0,2.45,0,0,0,0,0
Lindomar Lino,0,288,1,1,0,1,0,0,0,3.29,0,0,0,0,0
Zachary Sutmiller,0,288,1,1,0,1,0,0,0,2.75,0,0,0,0,0
Guthrie Long,0,288,1,1,0,1,0,0,0,5.82,0,0,0,0,0
Justin Willis,0,288,1,1,0,1,0,0,0,0.84,0,0,0,0,0
Grayson Cole,0,288,1,1,0,1,0,0,0,4.12,0,0,0,0,0
Cody Wilson,0,288,1,1,0,1,0,0,0,3.48,0,0,0,0,0
Xavier Hunt,0,288,1,1,0,1,0,0,0,3.12,0,0,0,0,0
Alvaro Alvarez Aguilar,0,288,1,1,0,1,0,0,0,3.27,0,0,0,0,0
Alisson Henrique,0,288,1,1,0,1,0,0,0,5.32,0,0,1,0,0
Colby Lewis,0,288,1,1,0,1,0,0,0,2.71,0,0,1,0,0
Jonny Perez,0,288,1,2,0,2,0,0,0,4.54,0,0,0,0,0
Winston Lopez,0,288,1,1,0,1,0,0,0,3.88,0,0,0,0,0
Andy Valdez,0,288,1,1,0,1,0,0,0,2.11,0,0,0,0,0
Kenneth Davis,0,288,1,2,0,2,0,0,0,2.5,0,0,0,0,0
Eli Miller,0,288,1,2,0,2,0,0,0,3.88,0,0,0,0,0
Austin Perkins,0,288,1,2,0,2,0,0,0,1.77,0,0,0,0,0
Cody Hazelton,0,288,1,1,0,1,0,0,0,3.33,0,0,0,0,0
Cullen Telfer,0,288,1,1,0,1,0,0,0,4.73,0,0,0,0,0
Enos Swartznetruber,0,288,1,1,0,1,0,0,0,2.7,0,0,1,0,0
Nick Fowler,0,288,1,2,0,2,0,0,0,1.74,0,0,0,0,0
Braxton Essary,0,288,1,1,0,1,0,0,0,1.72,0,0,0,0,0
Harrison Kalinka,0,288,1,2,0,2,0,0,0,4.44,0,0,0,0,0
Gus Justman,0,288,1,2,0,2,0,0,0,3.02,0,0,0,0,0
Devan Mealing,0,288,1,2,0,2,0,0,0,2.21,0,0,2,0,0
Wyatt Mandel,0,288,1,1,0,1,0,0,0,1.56,0,0,0,0,0
Tucker Shanklin,0,288,1,2,0,2,0,0,0,2.16,0,0,0,0,0
Ibiyemi Ojo,0,288,1,1,0,1,0,0,0,1.25,0,0,0,0,0
Tyler Villarreal,0,288,1,1,0,1,0,0,0,6.78,0,0,0,0,0
Trevor Clark,0,288,1,1,0,1,0,0,0,3.99,0,0,0,0,0
Brandon Reynolds,0,288,1,2,0,2,0,0,0,3.6,0,0,0,0,0
Bryce Williams,0,288,1,1,0,1,0,0,0,4.19,0,0,0,0,0
Trevyn Armstrong,0,288,1,1,0,1,0,0,0,5.57,0,0,0,0,0
Chad Hartman,0,288,1,2,0,2,0,0,0,6.11,0,0,0,0,0
Josh Stepp,0,288,1,1,0,1,0,0,0,3.06,0,0,0,0,0
Garrett Hoopes,0,288,1,1,0,1,0,0,0,4.19,0,0,0,0,0
Brett Gunderson,0,288,1,1,0,1,0,0,0,3.9,0,0,0,0,0
Derek Arellano,0,288,1,1,0,1,0,0,0,1.61,0,0,0,0,0
Marco Rizzo,0,288,1,3,0,3,0,0,0,5.13,0,0,0,0,0
Daniel Rasmussen,0,288,1,1,0,1,0,0,0,2.07,0,0,0,0,0
Corey Dryden,0,288,1,1,0,1,0,0,0,2,0,0,0,0,0
Lane Edwards,0,288,1,1,0,1,0,0,0,2.3,0,0,0,0,0
Mason Williamson,0,288,1,1,0,1,0,0,0,1.18,0,0,0,0,0
Hunter McCarroll,0,288,1,2,0,2,0,0,0,2.62,0,0,0,0,0
Trevor West,0,288,1,1,0,1,0,0,0,2.81,0,0,0,0,0
Micah Land,0,288,1,2,0,2,0,0,0,1.93,0,0,0,0,0
Ayslan Jeferson,0,288,1,3,0,3,0,0,0,5.19,0,0,0,0,0
