"","fighter_name","Height","Weight","Reach","Stance","Birthyear","SLpM","Str_Acc","SApM","Str_Def","TD_Avg","TD_Acc","TD_Def","Sub_Avg"
"38","Ricardo Almeida",72,170,74,"Orthodox",1976,2.02,49,1.2,61,3.74,38,31,1.2
"39","Thomas Almeida",67,145,70,"Southpaw",1991,5.39,44,4.69,64,0,0,75,0
"40","Sarah Alpar",64,135,63,"Southpaw",1991,2.11,54,4.76,32,2.69,28,50,0.7
"41","Ali AlQaisi",66,135,68,"Orthodox",1990,2.43,42,1.97,56,3.5,29,60,1
"42","Jaime Alvarez",68,125,69,"Orthodox",1988,2.73,40,4.53,56,1,33,50,0
"43","Joel Alvarez",75,155,77,"Orthodox",1994,2.84,37,3.31,53,0,0,0,1.6
"44","Eddie Alvarez",69,155,69,"Orthodox",1984,4.32,41,4.39,55,2.92,36,92,0.5
"45","Thiago Alves",69,170,70,"Orthodox",1983,3.73,41,3.42,62,0.71,60,63,0.3
"46","Rafael Alves",68,145,68,"Orthodox",1990,2.02,45,3.66,59,0,0,100,1.9
"47","Warlley Alves",71,170,72,"Orthodox",1991,3.09,47,3.62,50,1.48,54,75,1
"48","Adlan Amagov",74,170,76,"Orthodox",1986,3.29,47,0.82,78,5.84,56,100,0
"49","Sam Alvey",74,205,75,"Southpaw",1986,3.17,44,3.26,55,0.08,16,82,0.1
"50","Alen Amedovski",70,185,74,"Orthodox",1988,0.52,28,3.14,37,0,0,0,0
"51","Makwan Amirkhani",70,145,72,"Southpaw",1988,1.42,44,2.63,51,3.37,37,57,1.4
"52","Eryk Anders",73,185,75,"Southpaw",1987,3.23,46,4.15,51,1.62,35,80,0.1
"53","Corey Anderson",75,205,79,"Orthodox",1989,4.43,46,2.22,59,4.89,50,83,0
"54","Megan Anderson",72,145,72,"Orthodox",1990,1.76,46,3.35,37,0.52,25,53,0.5
"55","Viscardi Andrade",71,170,75,"Orthodox",1984,3.26,42,2.77,63,1.93,50,66,0.3
"56","Jessica Andrade",61,115,62,"Orthodox",1991,6.38,49,5.26,53,3.11,57,76,0.4
"57","Dylan Andrews",73,185,74,"Switch",1979,2.21,50,2.72,46,2.83,50,57,0.4
"58","Collin Anglin",69,145,71,"Orthodox",1993,5.87,55,3.47,58,3,75,100,0
"59","Magomed Ankalaev",75,205,75,"Orthodox",1992,3.41,53,1.78,65,1.18,33,85,0
"60","Nina Ansaroff",65,115,64,"Orthodox",1985,4.81,47,3.55,54,0.29,40,77,0.6
"61","Adam Antolin",65,125,63,"Orthodox",1982,5.73,52,5,69,0,0,100,0
"62","Gadzhimurad Antigulov",71,205,70,"Orthodox",1987,2.08,55,4.21,40,5.08,36,0,1.4
"63","Shinsho Anzai",67,170,70,"Orthodox",1985,3.23,58,3.75,45,1.83,16,75,0
"64","Igor Araujo",73,170,77,"Orthodox",1980,1.52,42,2.86,49,0.86,15,22,0.6
"65","Felipe Arantes",68,135,73,"Orthodox",1988,2.37,45,2.66,64,0.93,47,41,0.7
"66","Julio Arce",67,145,70,"Southpaw",1989,4.25,36,2.87,67,0.58,30,93,0.6
"67","Viviane Araujo",64,125,68,"Orthodox",1986,4.97,48,4.84,60,2.33,64,94,0.2
"68","Andrei Arlovski",75,240,77,"Orthodox",1979,3.48,44,2.83,57,0.47,36,78,0.3
"69","Akbarh Arreola",70,155,71,"Southpaw",1983,2.32,45,4.01,56,1.07,100,33,0.4
"70","Austin Arnett",72,145,72,"Orthodox",1991,4.52,41,6.38,62,0.44,18,57,0.2
"71","Matt Arroyo",70,170,72,"Orthodox",1982,1.62,47,2.01,58,2.12,36,100,5.3
"72","Antonio Arroyo",75,185,73,"Orthodox",1989,3.08,70,1.72,44,1.4,41,32,0.3
"73","Teddy Ash",73,185,73,"Switch",1989,7.27,61,6.8,28,0,0,100,0
"74","Askar Askarov",66,125,67,"Orthodox",1992,3.37,55,2.65,56,2.75,28,64,0
"75","Cyril Asker",72,247,74,"Orthodox",1985,3.35,39,5.82,35,4.41,62,100,0.9
"76","Scott Askham",75,185,75,"Southpaw",1988,3.03,46,3.52,52,0.44,18,65,0.7
"77","Ben Askren",71,170,73,"Orthodox",1984,3.64,49,5.66,36,4.33,55,0,0.9
